source_file,authors,year,title,venue,doi
14.txt,"Yuhan Wu, Yuanyuan Xu, Wenjie Zhang, Xiwei Xu, and Ying Zhang",2024,Query2GMM: Learning Representation with Gaussian Mixture Model for Reasoning over Knowledge Graphs,Proceedings of the ACM Web Conference 2024 (WWW '24),https://doi.org/10.1145/3589334.3645569
14.txt,"Shui Liu, Mingyuan Tao, Maofei Que, Pan Li, Dong Li, Shenghua Ni, and Zhuoran Zhuang",2025,NAM: A Normalization Attention Model for Personalized Product Search In Fliggy,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '25),https://doi.org/10.1145/3726302.3730235
14.txt,Julian Knodt and Seung-Hwan Baek,2026,Texture-Aware Remeshing for Texture-aware Geometry Processing,ACM Trans. Graph.,https://doi.org/10.1145/3804451
14.txt,"Rijie Cong, Yu Xu, Jinping Zhang, and Jinru Xian",2026,Automatic Extraction of Natural Landscape Elements and Miniature Model Generation Based on Convolutional Neural Networks,"Proceedings of the 2025 International Conference on Artificial Intelligence, Virtual Reality and Interaction Design (AIVRID '25)",https://doi.org/10.1145/3777730.3777863
14.txt,"Tong Zhao, Laurent Busé, David Cohen-Steiner, Tamy Boubekeur, Jean-Marc Thiery, and Pierre Alliez",2023,Variational Shape Reconstruction via Quadric Error Metrics,ACM SIGGRAPH 2023 Conference Proceedings (SIGGRAPH '23),https://doi.org/10.1145/3588432.3591529
14.txt,"Yuanjing Luo, Tongqing Zhou, Fang Liu, and Zhiping Cai",2023,IRWArt: Levering Watermarking Performance for Protecting High-quality Artwork Images,Proceedings of the ACM Web Conference 2023 (WWW '23),https://doi.org/10.1145/3543507.3583489
14.txt,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, and Ang Li",2023,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,Proceedings of the 50th Annual International Symposium on Computer Architecture (ISCA '23),https://doi.org/10.1145/3579371.3589043
14.txt,Rui Li,2023,View-dependent Adaptive HLOD: real-time interactive rendering of multi-resolution models,Proceedings of the 20th ACM SIGGRAPH European Conference on Visual Media Production (CVMP '23),https://doi.org/10.1145/3626495.3626507
14.txt,Jun Xu and Jing Wu,2025,A Lightweight 3D Digital Product Display System,Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence (CISAI '25),https://doi.org/10.1145/3773365.3773446
14.txt,"Pratibha Raghupati Hegde, Oleksandr Kyriienko, Hermanni Heimonen, Panagiotis Tolias, Gilbert Netzer, Panagiotis Barkoutsos, Ricardo Vinuesa, Ivy Peng, and Stefano Markidis",2024,Beyond the Buzz: Strategic Paths for Enabling Useful NISQ Applications,Proceedings of the 21st ACM International Conference on Computing Frontiers (CF '24),https://doi.org/10.1145/3649153.3649182
